superior_rating,price,variety,Crisp,Dry,Sweet,Finish,Firm,Fresh,Fruit,Full,Rich,Round,Soft,sentiment,variety_c,sweetness,acidity,tannin,alcohol,body,tfidf_tsne_1,tfidf_tsne_2,Ready,price_bracket
1,143,Champagne Blend,0,1,0,1,0,0,1,0,0,0,0,0.304,Cd,0.583,0.5,0.5,0.333,0.5,35.59481,17.95192,0,SL
0,40,Rhône-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.082,RR,0.5,0.5,0.5,0.438,0.562,-11.153997,-48.877075,0,UP
0,33,Sauvignon Blanc,0,0,0,0,0,0,1,0,0,0,0,0.075,Sc,0.625,0.5,0.5,0.562,0.438,-42.62773,25.38613,0,UP
1,120,Champagne Blend,0,0,1,0,0,0,0,1,1,0,0,0.344,Cd,0.6,0.2,0.5,0.6,0.8,34.2109,34.49741,0,SL
1,25,Tannat,0,0,0,0,0,0,1,0,1,0,0,0.221,Tt,0.429,0.429,0.5,0.429,0.429,-32.963837,30.399384,0,SP
0,18,Red Blend,0,0,0,0,0,0,1,0,0,0,1,0.205,Rd,0.583,0.417,0.417,0.417,0.5,14.621632,-4.3707237,0,P
0,16,Pinot Blanc,0,0,0,0,0,0,0,1,0,0,0,0.221,Pc,0.583,0.333,0.417,0.667,0.583,55.075863,18.259384,1,P
1,120,Bordeaux-style Red Blend,0,0,1,0,0,1,0,0,1,0,1,0.229,BR,0.625,0.188,0.375,0.5,0.5,-25.140285,-8.832403,0,SL
1,65,Champagne Blend,1,0,0,1,0,0,1,0,0,0,0,0.118,Cd,0.5,0.571,0.571,0.357,0.5,30.339409,-7.7263565,0,L
0,20,Rosé,1,0,0,0,0,0,1,0,0,0,0,0.155,Re,0.5,0.7,0.5,0.4,0.4,25.349237,-21.326643,0,SP
0,30,Sparkling Blend,1,0,0,0,0,0,1,0,1,1,0,0.094,Sd,0.4,0.4,0.4,0.3,0.6,31.722609,19.14548,0,UP
0,14,Rosé,0,0,0,0,0,0,1,0,0,1,0,0.253,Re,0.571,0.429,0.429,0.5,0.5,4.4571023,-16.313177,1,PP
0,15,Bordeaux-style Red Blend,0,0,0,0,0,0,0,1,1,0,0,0.156,BR,0.5,0.3,0.6,0.5,0.8,-4.342576,10.4212,0,P
0,20,Bordeaux-style White Blend,1,0,0,1,0,1,1,0,0,0,0,0.208,BW,0.5,0.6,0.5,0.4,0.5,51.276043,-5.4182014,0,SP
0,63,Pinot Noir,0,0,0,0,1,0,1,0,0,0,0,-0.067,Pr,0.583,0.5,0.667,0.5,0.583,-27.35345,4.662703,0,L
0,21,Muscat,0,0,1,0,0,0,1,0,0,0,0,0.55,Mt,0.75,0.375,0.5,0.5,0.5,48.078915,4.6880894,0,SP
0,28,Pinot Blanc,0,0,0,0,0,0,0,0,0,1,0,0.227,Pc,0.5,0.5,0.5,0.5,0.583,26.36092,-45.645046,0,SP
1,120,Champagne Blend,0,0,0,0,0,0,0,1,1,0,0,0.325,Cd,0.429,0.357,0.5,0.5,0.643,29.039768,32.909622,0,SL
0,20,Pinot Noir,0,0,0,0,0,0,1,1,0,1,0,0.192,Pr,0.7,0.4,0.4,0.6,0.6,-4.8685904,36.53884,0,SP
0,14,Bordeaux-style Red Blend,0,1,0,0,1,0,1,0,0,1,0,0.017,BR,0.3,0.4,0.5,0.2,0.4,-45.96844,18.473347,0,PP
0,25,Red Blend,0,1,0,0,0,0,1,0,0,0,1,0.273,Rd,0.4,0.4,0.5,0.4,0.5,-30.532791,-0.02354437,1,SP
0,22,Chardonnay,1,0,0,0,0,1,1,0,0,0,0,0.441,Cy,0.25,0.75,0.625,0.25,0.625,21.540255,4.105173,0,SP
0,22,Chardonnay,0,0,0,0,0,1,1,0,0,0,0,0.25,Cy,0.6,0.5,0.6,0.4,0.6,24.05551,26.123703,0,SP
0,11,Rosé,1,0,0,0,0,0,1,0,0,0,0,0.205,Re,0.417,0.75,0.5,0.25,0.417,18.109426,-25.119162,0,PP
0,12,Sparkling Blend,0,0,0,0,0,1,0,0,0,0,0,0.224,Sd,0.5,0.5,0.5,0.5,0.417,17.207577,-50.78897,0,PP
0,20,Sparkling Blend,1,0,0,0,0,0,1,0,0,0,0,0.168,Sd,0.417,0.75,0.583,0.333,0.583,20.346418,-17.698544,0,SP
0,15,Bordeaux-style White Blend,1,0,0,0,0,1,0,0,0,0,0,0.088,BW,0.2,0.8,0.6,0.2,0.6,36.73839,-9.021634,0,P
1,45,Chenin Blanc,0,1,1,0,0,0,0,0,0,0,0,0.31,Cc,0.643,0.429,0.5,0.5,0.5,50.679234,-13.404593,0,UP
